Год_рождения,Подписаны_документы,Пол,БылПростой,ОпытВДолжности,Активность,Знак_зодиака,Возраст,Оценка_HR,УровеньОплаты,Офлайн_участие,Образование,Телефон,Город,Размер,Закрытые_проекты,ГодНайма,Курсы,Увольнение
,,Male,No,5.0,334.0,Весы,34.0,,3.0,0.0,Bachelors,915758802064,Pune,M,10.0,2015.0,2.0,0
1993.0,Нет,Male,No,5.0,334.0,Весы,34.0,3.0,3.0,0.0,Bachelors,915758802064,Pune,M,10.0,,2.0,0
1993.0,Нет,Male,No,5.0,334.0,Весы,,3.0,3.0,0.0,,915758802064,Pune,M,10.0,,,0
1993.0,,,No,5.0,334.0,Весы,34.0,,,,Bachelors,915758802064,Pune,M,10.0,2015.0,2.0,0
1988.0,Да,Male,,2.0,91.0,Дева,39.0,1.0,,1.0,PHD,918884184097,Bangalore,,,2013.0,4.0,1
1988.0,Да,Male,No,2.0,91.0,Дева,39.0,1.0,3.0,,PHD,918884184097,Bangalore,XXL,9.0,2013.0,,1
1988.0,Да,Male,No,2.0,91.0,,39.0,1.0,3.0,1.0,PHD,918884184097,Bangalore,,9.0,2013.0,,1
1988.0,Да,Male,No,2.0,91.0,Дева,39.0,1.0,3.0,1.0,,918884184097,Bangalore,,9.0,,4.0,1
1988.0,Да,Male,No,2.0,91.0,Дева,39.0,,,1.0,PHD,918884184097,Bangalore,XXL,9.0,2013.0,,1
1994.0,Да,Male,No,2.0,360.0,Стрелец,32.0,3.0,2.0,0.0,Masters,914577530129,,XL,,,3.0,1
1994.0,Да,Male,No,2.0,,Стрелец,32.0,3.0,2.0,0.0,Masters,914577530129,New Delhi,,13.0,2013.0,3.0,1
1995.0,Нет,Female,,3.0,436.0,Скорпион,31.0,8.0,3.0,0.0,,919735611645,,M,5.0,2012.0,1.0,0
1995.0,Нет,Female,No,3.0,436.0,,31.0,8.0,3.0,0.0,Bachelors,919735611645,,M,5.0,,1.0,0
1987.0,,,No,,,Скорпион,40.0,10.0,,1.0,,913799077827,New Delhi,XL,,2016.0,4.0,0
1989.0,Нет,Female,No,0.0,144.0,Лев,37.0,3.0,3.0,1.0,,918167247961,Bangalore,S,10.0,2015.0,3.0,0
1987.0,Нет,Female,No,0.0,,,,3.0,,1.0,Masters,914158745009,New Delhi,,,2017.0,,0
1996.0,Нет,,No,1.0,256.0,Козерог,31.0,6.0,3.0,1.0,,911751218206,Bangalore,M,9.0,2013.0,2.0,0
1994.0,Нет,Male,No,2.0,312.0,Овен,32.0,1.0,3.0,,Bachelors,912858865575,Bangalore,L,,2017.0,3.0,0
,Нет,Male,No,2.0,312.0,Овен,32.0,1.0,3.0,0.0,,912858865575,,,12.0,2017.0,3.0,0
