Год_рождения,Подписаны_документы,Пол,БылПростой,ОпытВДолжности,Активность,Знак_зодиака,Возраст,Оценка_HR,УровеньОплаты,Офлайн_участие,Образование,Телефон,Город,Размер,Закрытые_проекты,ГодНайма,Курсы,Увольнение
,Да,Male,,1.0,270.0,Телец,28.0,1.0,3.0,1.0,Masters,917946474029,New Delhi,L,4.0,2014.0,3.0,1
1999.0,Да,,No,1.0,270.0,Телец,28.0,1.0,3.0,1.0,Masters,917946474029,New Delhi,L,4.0,2014.0,3.0,1
,Да,,No,,270.0,Телец,28.0,1.0,3.0,,Masters,917946474029,New Delhi,,4.0,2014.0,3.0,1
1999.0,Да,Male,No,,270.0,Телец,28.0,1.0,3.0,,Masters,917946474029,New Delhi,,4.0,2014.0,3.0,1
1999.0,,Male,,,270.0,,28.0,1.0,3.0,,Masters,917946474029,,L,4.0,2014.0,3.0,1
1999.0,Да,Female,No,5.0,331.0,,27.0,1.0,3.0,,Bachelors,918618594385,New Delhi,S,11.0,,4.0,1
1999.0,Да,Female,No,,,Водолей,,1.0,3.0,0.0,Bachelors,918618594385,New Delhi,S,11.0,2016.0,,1
1999.0,Да,Female,No,,,Водолей,,,3.0,0.0,,918618594385,New Delhi,,11.0,2016.0,4.0,1
1999.0,Да,Female,No,,331.0,,27.0,1.0,3.0,0.0,,918618594385,New Delhi,S,11.0,2016.0,4.0,1
1999.0,Да,Female,No,,,Водолей,27.0,1.0,,0.0,Bachelors,918618594385,New Delhi,,11.0,2016.0,4.0,1
,Нет,Female,Yes,2.0,60.0,,,0.0,,1.0,,912739042293,New Delhi,M,3.0,2016.0,2.0,0
,Нет,Female,,2.0,60.0,Скорпион,29.0,0.0,3.0,1.0,Bachelors,912739042293,New Delhi,M,,2016.0,2.0,0
,Нет,,,2.0,60.0,Скорпион,29.0,0.0,3.0,1.0,Bachelors,912739042293,,,3.0,2016.0,2.0,0
1997.0,Нет,Female,Yes,2.0,,Скорпион,29.0,0.0,3.0,1.0,Bachelors,912739042293,New Delhi,,3.0,2016.0,2.0,0
1997.0,Нет,,No,1.0,425.0,Весы,,3.0,3.0,0.0,Bachelors,912949976366,Bangalore,M,,2016.0,,0
1997.0,Нет,Female,No,1.0,425.0,Весы,29.0,3.0,3.0,0.0,Bachelors,912949976366,Bangalore,M,8.0,2016.0,2.0,0
,Нет,,No,1.0,425.0,,29.0,3.0,3.0,0.0,Bachelors,912949976366,Bangalore,M,,2016.0,2.0,0
1997.0,Нет,Female,No,1.0,425.0,,29.0,3.0,3.0,0.0,,912949976366,Bangalore,M,8.0,2016.0,,0
1997.0,,Female,No,1.0,,Весы,29.0,3.0,,,Bachelors,912949976366,Bangalore,M,8.0,2016.0,2.0,0
1996.0,,Female,No,1.0,205.0,Рак,29.0,2.0,3.0,1.0,Bachelors,913334608906,Bangalore,,,2012.0,3.0,0
1996.0,Нет,Female,No,1.0,,,29.0,2.0,3.0,1.0,Bachelors,913334608906,,S,0.0,2012.0,3.0,0
1996.0,Нет,Female,No,1.0,205.0,Рак,29.0,,3.0,1.0,,913334608906,Bangalore,S,0.0,,3.0,0
,,Female,No,1.0,205.0,Рак,29.0,2.0,,1.0,Bachelors,913334608906,,,0.0,2012.0,,0
1996.0,,Female,No,1.0,,Рак,29.0,,3.0,1.0,Bachelors,913334608906,Bangalore,S,0.0,,3.0,0
1996.0,Да,Male,,2.0,42.0,,29.0,4.0,3.0,0.0,Bachelors,912812702823,Bangalore,L,3.0,2018.0,2.0,1
1996.0,Да,Male,Yes,2.0,42.0,,,4.0,3.0,0.0,Bachelors,912812702823,Bangalore,L,3.0,2018.0,,1
1996.0,Да,Male,Yes,2.0,,Козерог,29.0,,3.0,0.0,,912812702823,Bangalore,L,,,2.0,1
1995.0,Нет,,No,1.0,,,30.0,,,,Bachelors,912832156176,Pune,XL,0.0,,5.0,0
1995.0,Нет,Male,No,1.0,257.0,Стрелец,30.0,5.0,3.0,1.0,Bachelors,912832156176,Pune,XL,,2012.0,5.0,0
1995.0,Нет,Male,No,,257.0,Стрелец,30.0,5.0,3.0,1.0,Bachelors,912832156176,Pune,XL,,2012.0,5.0,0
1995.0,,Male,No,1.0,257.0,Стрелец,30.0,5.0,3.0,1.0,,912832156176,,XL,0.0,2012.0,5.0,0
,Да,Male,Yes,1.0,445.0,Рыбы,30.0,0.0,3.0,0.0,Bachelors,917045707028,Bangalore,,11.0,2013.0,1.0,1
1997.0,,Male,Yes,1.0,,Рыбы,30.0,0.0,3.0,0.0,Bachelors,917045707028,Bangalore,,11.0,2013.0,1.0,1
1997.0,Нет,Female,Yes,,,Дева,29.0,7.0,3.0,0.0,Bachelors,918102065229,New Delhi,L,9.0,2015.0,1.0,0
1996.0,Нет,Female,No,,116.0,Рыбы,30.0,4.0,3.0,0.0,Bachelors,913988099460,Bangalore,,11.0,,,0
1996.0,Нет,,No,1.0,116.0,Рыбы,30.0,4.0,3.0,0.0,Bachelors,913988099460,Bangalore,M,,2014.0,2.0,0
,Нет,Female,,1.0,116.0,Рыбы,,,3.0,,Bachelors,913988099460,,,11.0,2014.0,,0
1996.0,,Female,No,1.0,116.0,Рыбы,30.0,4.0,,,Bachelors,913988099460,Bangalore,M,11.0,2014.0,2.0,0
1996.0,Нет,Female,No,1.0,116.0,Рыбы,30.0,4.0,3.0,,Bachelors,913988099460,Bangalore,M,,2014.0,2.0,0
1997.0,Нет,Male,No,2.0,19.0,Стрелец,,4.0,1.0,1.0,Bachelors,919304525379,Pune,S,2.0,2014.0,4.0,0
1998.0,Нет,Female,No,,128.0,Водолей,27.0,0.0,3.0,1.0,Bachelors,917839465542,Pune,S,4.0,2015.0,3.0,0
,Нет,Female,No,5.0,128.0,Водолей,27.0,0.0,3.0,1.0,Bachelors,917839465542,Pune,S,4.0,2015.0,3.0,0
1998.0,,Female,No,5.0,128.0,,27.0,0.0,,1.0,,917839465542,Pune,S,,2015.0,3.0,0
1998.0,Нет,,No,5.0,128.0,,,0.0,,1.0,Bachelors,917839465542,Pune,S,4.0,2015.0,,0
1995.0,Да,,No,1.0,,Близнецы,,,,1.0,,913051200679,,M,,2016.0,4.0,1
1995.0,Да,Male,No,1.0,271.0,Близнецы,30.0,0.0,3.0,,Bachelors,913051200679,Bangalore,,13.0,2016.0,4.0,1
1999.0,Да,Female,No,4.0,64.0,Скорпион,26.0,,,0.0,,914011219791,Pune,M,4.0,,5.0,1
1999.0,Да,Female,No,,64.0,Скорпион,26.0,,,0.0,Bachelors,914011219791,,,4.0,2016.0,5.0,1
1999.0,,Female,,,64.0,,26.0,,,0.0,Bachelors,914011219791,Pune,,4.0,2016.0,5.0,1
1999.0,Да,Female,Yes,5.0,226.0,,27.0,10.0,,0.0,,918716463579,New Delhi,S,,2018.0,,1
,Нет,Male,No,5.0,268.0,Козерог,,10.0,,1.0,Bachelors,911147345914,Pune,XL,0.0,2012.0,1.0,0
,Нет,Male,No,5.0,268.0,Козерог,,,1.0,,Bachelors,911147345914,Pune,XL,0.0,2012.0,1.0,0
,Нет,Female,No,,3.0,,28.0,0.0,3.0,,PHD,917824788313,Bangalore,XL,,2017.0,,0
1999.0,Нет,Female,No,1.0,3.0,Овен,28.0,0.0,,1.0,PHD,917824788313,Bangalore,XL,13.0,2017.0,5.0,0
1998.0,Да,Female,No,,265.0,Рыбы,29.0,,3.0,1.0,Bachelors,914181979092,Pune,L,10.0,2015.0,,1
1998.0,Да,Female,No,1.0,265.0,,,4.0,3.0,1.0,Bachelors,914181979092,Pune,L,10.0,2015.0,,1
1998.0,Да,Female,,1.0,,Рыбы,29.0,4.0,3.0,1.0,Bachelors,914181979092,Pune,L,10.0,2015.0,,1
1998.0,Да,Female,No,1.0,265.0,,,4.0,3.0,1.0,Bachelors,914181979092,Pune,L,10.0,2015.0,1.0,1
1997.0,Нет,Male,Yes,2.0,102.0,Телец,30.0,9.0,,1.0,Masters,914707696823,New Delhi,M,4.0,,4.0,0
,Нет,Male,Yes,2.0,102.0,Телец,30.0,9.0,3.0,1.0,Masters,914707696823,New Delhi,,4.0,2014.0,,0
1996.0,Нет,,No,2.0,8.0,,30.0,10.0,3.0,0.0,Masters,917693367453,New Delhi,XL,,2012.0,2.0,0
1996.0,Нет,Male,No,2.0,8.0,Близнецы,30.0,10.0,,0.0,Masters,917693367453,New Delhi,XL,0.0,2012.0,2.0,0
1996.0,Нет,Male,No,2.0,8.0,,30.0,10.0,3.0,0.0,Masters,917693367453,New Delhi,,0.0,,2.0,0
1996.0,Нет,Male,No,2.0,8.0,Близнецы,,10.0,,0.0,Masters,917693367453,New Delhi,XL,0.0,2012.0,2.0,0
,Нет,,,2.0,8.0,Близнецы,30.0,10.0,,,Masters,917693367453,,XL,0.0,2012.0,2.0,0
,Да,Male,Yes,1.0,109.0,Козерог,30.0,4.0,3.0,0.0,,912473910984,Bangalore,M,,,1.0,1
,,,No,2.0,2.0,Скорпион,29.0,,3.0,1.0,,919860816184,,M,7.0,2017.0,2.0,0
1998.0,Нет,Female,No,,2.0,,,5.0,,,Masters,919860816184,New Delhi,M,7.0,2017.0,2.0,0
1998.0,Нет,Female,No,2.0,2.0,Скорпион,29.0,,3.0,,Masters,919860816184,New Delhi,,,2017.0,2.0,0
,Нет,Female,No,2.0,,Скорпион,29.0,,3.0,1.0,,919860816184,New Delhi,M,7.0,2017.0,2.0,0
