Год_рождения,Подписаны_документы,Пол,БылПростой,ОпытВДолжности,Активность,Знак_зодиака,Возраст,Оценка_HR,УровеньОплаты,Офлайн_участие,Образование,Телефон,Город,Размер,Закрытые_проекты,ГодНайма,Курсы,Увольнение
,Нет,Female,No,,370.0,Близнецы,35.0,10.0,,0.0,Bachelors,913555958594,Bangalore,XS,,2013.0,3.0,0
1991.0,Нет,Female,No,0.0,370.0,Близнецы,35.0,,3.0,0.0,,913555958594,,,13.0,2013.0,3.0,0
1992.0,Нет,Male,No,5.0,248.0,Лев,35.0,8.0,,1.0,Bachelors,913674576741,Bangalore,,10.0,2013.0,1.0,0
1992.0,Нет,Male,No,5.0,248.0,Лев,35.0,8.0,3.0,1.0,Bachelors,913674576741,Bangalore,L,10.0,2013.0,1.0,0
1992.0,Нет,Female,,4.0,166.0,,34.0,9.0,3.0,1.0,Masters,918364911038,Bangalore,,,2017.0,3.0,0
1992.0,Нет,,No,4.0,166.0,Рыбы,34.0,,,1.0,,918364911038,Bangalore,M,8.0,2017.0,3.0,0
,Нет,,,4.0,166.0,,,,3.0,1.0,Masters,918364911038,Bangalore,M,8.0,2017.0,,0
1992.0,Нет,,No,4.0,166.0,Рыбы,34.0,,,1.0,Masters,918364911038,,M,8.0,2017.0,3.0,0
1992.0,Нет,,No,,,,34.0,,3.0,1.0,,918364911038,Bangalore,M,8.0,2017.0,3.0,0
1984.0,Нет,Male,,4.0,,Козерог,41.0,0.0,3.0,1.0,Bachelors,913106447215,,L,7.0,,,0
1984.0,Нет,Male,No,4.0,60.0,Козерог,41.0,0.0,,1.0,Bachelors,913106447215,Bangalore,L,7.0,2014.0,,0
1984.0,,,,4.0,60.0,Козерог,41.0,0.0,3.0,1.0,Bachelors,913106447215,Bangalore,L,7.0,,3.0,0
1984.0,,Male,No,4.0,60.0,Козерог,41.0,0.0,3.0,1.0,Bachelors,913106447215,Bangalore,L,7.0,2014.0,3.0,0
,Нет,Male,No,4.0,60.0,Козерог,41.0,0.0,3.0,,Bachelors,913106447215,Bangalore,,7.0,2014.0,3.0,0
1985.0,,Male,No,1.0,415.0,Водолей,40.0,,3.0,0.0,,913748370501,Bangalore,XXL,15.0,2013.0,1.0,0
,Нет,Male,No,1.0,,Водолей,40.0,7.0,3.0,0.0,Bachelors,913748370501,,XXL,15.0,2013.0,1.0,0
1985.0,Нет,Male,No,,415.0,Водолей,,7.0,3.0,0.0,Bachelors,913748370501,Bangalore,XXL,15.0,2013.0,1.0,0
,Да,Male,No,3.0,276.0,Лев,31.0,3.0,3.0,,Masters,915264698864,,L,7.0,,3.0,1
1995.0,Да,Male,No,3.0,276.0,Лев,31.0,3.0,3.0,,Masters,915264698864,Pune,L,7.0,2017.0,3.0,1
1995.0,Да,Male,No,3.0,,Лев,31.0,3.0,3.0,1.0,Masters,915264698864,Pune,L,7.0,2017.0,3.0,1
1995.0,Да,Male,No,3.0,276.0,Лев,31.0,3.0,3.0,,Masters,915264698864,Pune,L,,2017.0,3.0,1
,Да,Male,No,3.0,,Лев,,3.0,,1.0,Masters,915264698864,Pune,,7.0,2017.0,3.0,1
1993.0,Нет,,,,224.0,Козерог,,6.0,3.0,0.0,Masters,918676017146,New Delhi,L,2.0,2014.0,2.0,0
1993.0,Нет,Male,No,,224.0,Козерог,33.0,6.0,3.0,0.0,Masters,918676017146,New Delhi,,,2014.0,,0
,,Female,,,351.0,Весы,33.0,2.0,2.0,0.0,Bachelors,914890550591,Pune,M,14.0,,5.0,1
1988.0,Нет,Female,No,5.0,493.0,,39.0,10.0,3.0,,Bachelors,911435980445,Bangalore,M,,2016.0,2.0,0
1988.0,Нет,Female,No,,493.0,,,10.0,,0.0,Bachelors,911435980445,Bangalore,,0.0,2016.0,,0
1988.0,Нет,Female,No,5.0,,Стрелец,39.0,10.0,3.0,0.0,Bachelors,911435980445,Bangalore,M,,2016.0,2.0,0
,Нет,Female,No,5.0,493.0,,39.0,10.0,3.0,,,911435980445,Bangalore,M,0.0,2016.0,2.0,0
1988.0,Нет,Female,No,5.0,493.0,Стрелец,39.0,10.0,3.0,0.0,Bachelors,911435980445,Bangalore,M,0.0,,2.0,0
1986.0,Да,,No,1.0,91.0,Дева,,6.0,3.0,,Bachelors,915818503079,Bangalore,M,4.0,2016.0,2.0,1
1986.0,Да,Male,No,1.0,,Дева,41.0,6.0,3.0,1.0,,915818503079,Bangalore,M,4.0,,2.0,1
1993.0,,Male,No,5.0,,Козерог,32.0,5.0,3.0,,,919380100045,Bangalore,L,,2017.0,3.0,0
1993.0,,Male,No,5.0,500.0,Козерог,,5.0,,,Bachelors,919380100045,Bangalore,L,,2017.0,3.0,0
1993.0,Нет,Male,,5.0,500.0,,32.0,5.0,3.0,1.0,,919380100045,Bangalore,,0.0,2017.0,,0
1993.0,Нет,Male,No,5.0,500.0,Козерог,32.0,5.0,3.0,1.0,Bachelors,919380100045,,,0.0,2017.0,,0
1993.0,Нет,,No,5.0,,Козерог,32.0,,,,Bachelors,919380100045,Bangalore,L,0.0,2017.0,,0
1987.0,Да,,No,5.0,18.0,,39.0,,2.0,1.0,Bachelors,919455357102,Pune,M,,2014.0,5.0,1
1987.0,,,No,5.0,18.0,,39.0,7.0,,1.0,Bachelors,919455357102,Pune,M,13.0,2014.0,5.0,1
1994.0,Нет,Male,No,1.0,275.0,Дева,31.0,5.0,,,Bachelors,912693650018,Bangalore,L,4.0,2014.0,4.0,0
1994.0,Нет,,No,1.0,275.0,,31.0,,,0.0,Bachelors,912693650018,,L,4.0,2014.0,4.0,0
1994.0,Нет,,No,1.0,275.0,Дева,,5.0,3.0,0.0,,912693650018,,L,4.0,2014.0,4.0,0
1994.0,,Male,No,1.0,275.0,Дева,,5.0,,0.0,Bachelors,912693650018,Bangalore,L,,2014.0,4.0,0
1987.0,,Male,No,3.0,84.0,Водолей,,,3.0,1.0,Bachelors,914980555548,Bangalore,M,11.0,2012.0,,0
,Нет,Male,No,3.0,,Водолей,40.0,0.0,3.0,1.0,Bachelors,914980555548,Bangalore,,11.0,2012.0,2.0,0
1993.0,Да,Male,No,2.0,116.0,,34.0,7.0,,1.0,Masters,918720826252,New Delhi,,15.0,,,1
1993.0,Да,Male,,2.0,116.0,Рак,34.0,,3.0,1.0,,918720826252,New Delhi,M,15.0,2018.0,1.0,1
1993.0,Да,,No,,116.0,Рак,,,3.0,1.0,Masters,918720826252,New Delhi,M,15.0,2018.0,1.0,1
,Да,,No,4.0,,Дева,37.0,6.0,3.0,1.0,Bachelors,916592831397,New Delhi,L,,2018.0,3.0,1
1990.0,Да,Male,No,4.0,,Дева,37.0,6.0,3.0,1.0,Bachelors,916592831397,New Delhi,L,3.0,2018.0,3.0,1
1990.0,Да,,No,4.0,,,37.0,6.0,3.0,1.0,,916592831397,New Delhi,L,3.0,2018.0,3.0,1
1990.0,Да,Male,,4.0,,,37.0,6.0,3.0,1.0,,916592831397,New Delhi,,3.0,2018.0,3.0,1
1988.0,Да,Female,No,0.0,164.0,,39.0,3.0,2.0,,Bachelors,911007534727,Bangalore,S,14.0,2015.0,1.0,1
,Да,Female,No,0.0,164.0,Рак,,3.0,2.0,0.0,,911007534727,,,,2015.0,,1
,,Female,No,0.0,164.0,Рак,39.0,3.0,,0.0,Bachelors,911007534727,Bangalore,S,14.0,2015.0,1.0,1
1988.0,Да,Female,No,0.0,164.0,Рак,39.0,,2.0,,,911007534727,Bangalore,S,14.0,2015.0,1.0,1
1989.0,,Male,No,1.0,271.0,Козерог,37.0,2.0,3.0,1.0,Bachelors,916780439985,,M,12.0,2014.0,2.0,0
1989.0,Нет,Male,No,,271.0,Козерог,37.0,2.0,3.0,1.0,,916780439985,,,12.0,2014.0,2.0,0
1989.0,Нет,Male,No,1.0,271.0,Козерог,37.0,2.0,3.0,1.0,,916780439985,Pune,M,12.0,2014.0,2.0,0
1989.0,Нет,,No,1.0,271.0,Козерог,37.0,,,1.0,Bachelors,916780439985,,M,,2014.0,2.0,0
1989.0,Нет,Male,No,1.0,271.0,,,2.0,3.0,1.0,,916780439985,Pune,M,12.0,2014.0,2.0,0
1990.0,Нет,Male,,2.0,,Телец,37.0,3.0,3.0,0.0,Masters,917217006988,,,11.0,2014.0,,0
,Нет,Male,No,2.0,6.0,Телец,37.0,,3.0,0.0,Masters,917217006988,,M,11.0,,1.0,0
1995.0,,,No,,447.0,Овен,32.0,2.0,,1.0,Masters,916163569207,New Delhi,L,5.0,2017.0,2.0,0
1990.0,Нет,Male,,3.0,,Телец,37.0,10.0,3.0,0.0,,911657220420,,,12.0,2014.0,2.0,0
1990.0,Нет,Male,No,3.0,238.0,Телец,37.0,10.0,3.0,0.0,Bachelors,911657220420,New Delhi,L,12.0,,2.0,0
1990.0,Нет,Male,No,3.0,238.0,Телец,37.0,10.0,3.0,0.0,Bachelors,911657220420,New Delhi,L,12.0,2014.0,2.0,0
1990.0,Нет,Female,,,,,36.0,0.0,3.0,0.0,Bachelors,913648330334,,XS,9.0,2017.0,5.0,0
1990.0,Нет,Female,No,3.0,,,36.0,,,0.0,Bachelors,913648330334,Bangalore,XS,9.0,2017.0,5.0,0
1990.0,,Female,No,3.0,306.0,Овен,,0.0,3.0,0.0,Bachelors,913648330334,Bangalore,XS,9.0,2017.0,5.0,0
1990.0,Нет,Female,No,,,Овен,36.0,0.0,3.0,,Bachelors,913648330334,Bangalore,XS,9.0,2017.0,5.0,0
1990.0,,Female,No,,306.0,Овен,36.0,,,0.0,Bachelors,913648330334,,,9.0,2017.0,5.0,0
1986.0,Да,Female,No,2.0,266.0,Рак,40.0,10.0,2.0,0.0,Bachelors,912466537428,Pune,XS,10.0,,4.0,1
1986.0,Да,Female,No,2.0,266.0,Рак,40.0,10.0,2.0,0.0,Bachelors,912466537428,,XS,10.0,2015.0,,1
1986.0,Да,Female,No,2.0,266.0,Рак,40.0,10.0,2.0,0.0,Bachelors,912466537428,Pune,,10.0,2015.0,4.0,1
,Да,Female,No,,266.0,Рак,40.0,10.0,2.0,0.0,Bachelors,912466537428,Pune,XS,10.0,2015.0,4.0,1
,Нет,Male,,0.0,360.0,Скорпион,40.0,,,0.0,Bachelors,911276250028,Bangalore,S,,2014.0,,0
1987.0,Нет,Male,No,0.0,360.0,Скорпион,40.0,6.0,3.0,,Bachelors,911276250028,Bangalore,,3.0,2014.0,2.0,0
,Нет,,No,0.0,360.0,,40.0,6.0,3.0,,Bachelors,911276250028,Bangalore,S,3.0,,2.0,0
1987.0,Нет,Male,No,,360.0,Скорпион,40.0,6.0,3.0,0.0,Bachelors,911276250028,Bangalore,S,3.0,2014.0,2.0,0
1987.0,Нет,Male,,0.0,360.0,Скорпион,40.0,6.0,3.0,0.0,Bachelors,911276250028,Bangalore,S,3.0,2014.0,,0
,Нет,Male,No,,333.0,,32.0,5.0,3.0,1.0,Bachelors,917500330829,Pune,M,13.0,,4.0,0
1994.0,Нет,Male,No,,,Стрелец,,5.0,3.0,1.0,Bachelors,917500330829,Pune,M,13.0,2012.0,4.0,0
1994.0,Нет,Male,No,3.0,333.0,Стрелец,32.0,5.0,3.0,1.0,,917500330829,Pune,M,13.0,2012.0,4.0,0
1989.0,Да,,,3.0,188.0,Водолей,37.0,0.0,,,Bachelors,914929172093,Bangalore,,8.0,2012.0,2.0,1
1989.0,,Male,No,,188.0,Водолей,37.0,,3.0,1.0,Bachelors,914929172093,Bangalore,XXL,8.0,,2.0,1
1989.0,Да,,No,3.0,188.0,,37.0,0.0,3.0,1.0,Bachelors,914929172093,Bangalore,XXL,8.0,2012.0,2.0,1
1985.0,Да,,No,1.0,279.0,Скорпион,40.0,2.0,3.0,1.0,,913017495364,Pune,L,11.0,2017.0,,1
1993.0,Нет,Female,Yes,0.0,,Рыбы,34.0,0.0,3.0,1.0,Bachelors,916763745487,,M,0.0,,1.0,0
1993.0,Нет,Female,Yes,0.0,289.0,Рыбы,34.0,0.0,3.0,1.0,Bachelors,916763745487,Bangalore,M,0.0,2017.0,1.0,0
1993.0,Нет,Female,Yes,0.0,289.0,,34.0,,3.0,1.0,Bachelors,916763745487,,M,0.0,2017.0,1.0,0
1993.0,Нет,Female,Yes,0.0,,Рыбы,34.0,0.0,3.0,1.0,,916763745487,Bangalore,M,0.0,2017.0,1.0,0
1993.0,,Female,Yes,0.0,289.0,Рыбы,34.0,0.0,3.0,,Bachelors,916763745487,Bangalore,M,0.0,2017.0,1.0,0
1990.0,Нет,Male,No,3.0,373.0,Лев,37.0,9.0,3.0,0.0,Bachelors,915457364427,Bangalore,L,13.0,2012.0,2.0,0
1990.0,Нет,Male,No,3.0,373.0,Лев,37.0,9.0,3.0,0.0,Bachelors,915457364427,,,13.0,2012.0,2.0,0
1990.0,,,No,3.0,373.0,Лев,,,3.0,0.0,Bachelors,915457364427,Bangalore,L,13.0,2012.0,2.0,0
1990.0,Нет,Male,No,3.0,373.0,,37.0,9.0,3.0,,Bachelors,915457364427,Bangalore,,13.0,2012.0,2.0,0
1992.0,Нет,Male,No,3.0,492.0,,35.0,5.0,3.0,1.0,Bachelors,918017909493,Bangalore,XL,,2017.0,1.0,0
1992.0,Нет,Male,No,3.0,492.0,Лев,35.0,5.0,3.0,1.0,,918017909493,Bangalore,XL,9.0,2017.0,1.0,0
1992.0,Нет,,No,3.0,492.0,,35.0,5.0,3.0,1.0,Bachelors,918017909493,Bangalore,XL,9.0,2017.0,,0
,,Male,No,3.0,492.0,Лев,35.0,5.0,,,Bachelors,918017909493,Bangalore,XL,9.0,2017.0,1.0,0
1992.0,Нет,Male,No,3.0,492.0,Лев,,5.0,,1.0,Bachelors,918017909493,Bangalore,,9.0,2017.0,1.0,0
1989.0,Нет,Female,,2.0,285.0,,37.0,9.0,3.0,,Bachelors,918238826713,Pune,S,12.0,2017.0,,0
,Нет,Female,,2.0,242.0,Рак,35.0,2.0,3.0,1.0,Bachelors,915625749579,,M,,2012.0,1.0,0
1996.0,Да,Male,No,,133.0,Овен,31.0,7.0,3.0,,Bachelors,916618458925,Bangalore,XL,11.0,2014.0,1.0,1
1996.0,Да,Male,No,0.0,,Овен,31.0,,3.0,0.0,,916618458925,Bangalore,XL,,2014.0,1.0,1
1996.0,Да,Male,No,0.0,133.0,Овен,31.0,7.0,3.0,0.0,Bachelors,916618458925,Bangalore,XL,11.0,2014.0,1.0,1
1996.0,,Male,No,,133.0,Овен,31.0,7.0,3.0,0.0,,916618458925,Bangalore,XL,,2014.0,1.0,1
1996.0,Да,Male,No,0.0,133.0,,31.0,7.0,3.0,0.0,,916618458925,Bangalore,,11.0,2014.0,,1
1984.0,Нет,,,,165.0,Водолей,41.0,6.0,3.0,1.0,Bachelors,918319750216,Bangalore,,9.0,2016.0,4.0,0
1984.0,Нет,,,,165.0,Водолей,41.0,6.0,,1.0,Bachelors,918319750216,Bangalore,M,9.0,2016.0,4.0,0
1984.0,Нет,,No,,165.0,Водолей,41.0,6.0,3.0,1.0,,918319750216,Bangalore,,9.0,,4.0,0
1990.0,,Female,No,3.0,386.0,Водолей,37.0,2.0,3.0,0.0,Masters,911685536303,,S,7.0,,5.0,0
1990.0,Нет,Female,No,3.0,386.0,,37.0,2.0,3.0,0.0,Masters,911685536303,,S,7.0,2017.0,,0
1990.0,Нет,Female,No,,386.0,,,2.0,3.0,0.0,Masters,911685536303,,S,7.0,,5.0,0
1990.0,,Female,No,3.0,386.0,Водолей,,2.0,3.0,0.0,Masters,911685536303,New Delhi,S,7.0,2017.0,5.0,0
1986.0,Да,Male,No,0.0,423.0,Рак,40.0,4.0,,1.0,Bachelors,918911989054,,L,11.0,2018.0,4.0,1
,,Male,,0.0,423.0,Рак,40.0,4.0,3.0,1.0,,918911989054,,L,11.0,2018.0,4.0,1
1986.0,Да,Male,No,0.0,423.0,Рак,40.0,,3.0,1.0,Bachelors,918911989054,Pune,L,11.0,2018.0,4.0,1
1986.0,,Male,No,0.0,423.0,,40.0,,3.0,,,918911989054,Pune,,11.0,,4.0,1
1986.0,Да,Male,No,,423.0,,40.0,4.0,3.0,,Bachelors,918911989054,,L,11.0,2018.0,4.0,1
1989.0,,Male,Yes,1.0,308.0,Весы,36.0,,1.0,,Bachelors,917287932880,Bangalore,XL,,2018.0,1.0,0
1990.0,Да,Female,,2.0,389.0,Лев,37.0,2.0,3.0,,,911524408723,New Delhi,M,9.0,2018.0,4.0,1
1990.0,Да,Female,No,2.0,389.0,Лев,37.0,2.0,3.0,0.0,,911524408723,New Delhi,M,9.0,2018.0,4.0,1
1989.0,Да,Male,No,5.0,377.0,Рыбы,37.0,,,0.0,Bachelors,911671891574,Pune,M,8.0,2018.0,1.0,1
,Да,,No,5.0,377.0,Рыбы,37.0,,3.0,0.0,Bachelors,911671891574,Pune,M,8.0,2018.0,1.0,1
1989.0,Да,,,,377.0,Рыбы,37.0,,3.0,0.0,Bachelors,911671891574,Pune,M,8.0,2018.0,1.0,1
1989.0,Да,,No,,377.0,,37.0,2.0,3.0,0.0,Bachelors,911671891574,,M,,2018.0,,1
1989.0,Нет,Male,No,,227.0,Лев,38.0,,3.0,0.0,Bachelors,914822173486,Pune,L,,2016.0,1.0,0
1989.0,Да,,No,2.0,,Водолей,37.0,8.0,2.0,0.0,Bachelors,917776270394,,,13.0,,3.0,1
1989.0,Да,Male,No,2.0,393.0,,37.0,8.0,2.0,0.0,Bachelors,917776270394,Bangalore,L,,2017.0,3.0,1
1989.0,Да,Male,No,2.0,393.0,Водолей,37.0,8.0,2.0,0.0,Bachelors,917776270394,Bangalore,,,2017.0,3.0,1
1994.0,Да,Male,,1.0,443.0,Лев,32.0,,3.0,0.0,,914774781130,Pune,M,1.0,,5.0,1
1994.0,Да,Male,No,,443.0,Лев,32.0,1.0,3.0,0.0,Bachelors,914774781130,,M,1.0,2016.0,5.0,1
1996.0,Нет,Male,No,3.0,,Телец,31.0,7.0,3.0,1.0,Bachelors,911311411631,Bangalore,M,15.0,2016.0,,0
1996.0,Нет,Male,No,3.0,23.0,Телец,,,3.0,1.0,,911311411631,,M,15.0,2016.0,1.0,0
,Нет,Male,No,3.0,,Телец,31.0,7.0,,1.0,Bachelors,911311411631,Bangalore,M,,2016.0,1.0,0
1996.0,Нет,Male,,3.0,23.0,Телец,,7.0,3.0,1.0,,911311411631,Bangalore,M,15.0,2016.0,,0
,Нет,Male,No,3.0,23.0,Телец,31.0,,3.0,1.0,Bachelors,911311411631,Bangalore,,,2016.0,,0
1986.0,,,No,2.0,,Скорпион,40.0,6.0,1.0,0.0,Bachelors,919263039354,Bangalore,L,,2013.0,1.0,0
,Нет,Male,,,386.0,Скорпион,40.0,6.0,1.0,0.0,Bachelors,919263039354,Bangalore,L,15.0,2013.0,,0
1986.0,Нет,Male,,,,Скорпион,40.0,6.0,1.0,0.0,Bachelors,919263039354,Bangalore,L,15.0,2013.0,1.0,0
1986.0,Нет,Male,No,,386.0,Скорпион,,6.0,1.0,0.0,Bachelors,919263039354,Bangalore,,15.0,2013.0,1.0,0
1995.0,Нет,Male,No,1.0,66.0,Близнецы,31.0,7.0,,1.0,,914196659196,Bangalore,XXL,,2015.0,2.0,0
1995.0,Нет,,,1.0,,Близнецы,31.0,7.0,3.0,1.0,Bachelors,914196659196,Bangalore,XXL,3.0,2015.0,,0
1989.0,Нет,,No,,30.0,,,9.0,2.0,1.0,,911210433623,Pune,,,2017.0,1.0,0
1989.0,Нет,Male,No,,30.0,Рыбы,36.0,9.0,,1.0,Masters,911210433623,Pune,S,,,1.0,0
1989.0,Нет,Male,No,2.0,30.0,Рыбы,36.0,9.0,2.0,1.0,,911210433623,Pune,S,2.0,2017.0,1.0,0
1989.0,Нет,Male,No,2.0,30.0,,36.0,9.0,2.0,1.0,Masters,911210433623,Pune,S,,2017.0,1.0,0
1988.0,Нет,Male,Yes,2.0,,,,10.0,3.0,1.0,Bachelors,911734952368,Bangalore,,12.0,,1.0,0
1988.0,Нет,Male,,2.0,346.0,,38.0,10.0,3.0,1.0,Bachelors,911734952368,Bangalore,XL,12.0,2017.0,1.0,0
