Год_рождения,Подписаны_документы,Пол,БылПростой,ОпытВДолжности,Активность,Знак_зодиака,Возраст,Оценка_HR,УровеньОплаты,Офлайн_участие,Образование,Телефон,Город,Размер,Закрытые_проекты,ГодНайма,Курсы,Увольнение
2000.0,Да,Female,,4.0,24.0,,26.0,2.0,2.0,1.0,,914646693649,Bangalore,S,,2015.0,4.0,1
2000.0,Нет,Female,No,5.0,297.0,Овен,27.0,6.0,3.0,1.0,Bachelors,913268889051,Pune,S,1.0,2012.0,1.0,0
,Нет,Female,No,5.0,297.0,Овен,,,,1.0,Bachelors,913268889051,Pune,S,1.0,2012.0,1.0,0
1998.0,,Male,Yes,2.0,163.0,Овен,28.0,2.0,3.0,0.0,Masters,913940332015,,M,8.0,2017.0,1.0,0
1998.0,Нет,Male,Yes,2.0,163.0,Овен,,2.0,3.0,0.0,Masters,913940332015,New Delhi,M,8.0,2017.0,,0
1998.0,Нет,,Yes,2.0,163.0,Овен,,2.0,,0.0,,913940332015,New Delhi,,8.0,,,0
1998.0,Нет,Male,Yes,2.0,163.0,Овен,28.0,2.0,3.0,0.0,Masters,913940332015,New Delhi,M,,2017.0,1.0,0
2000.0,Нет,Female,Yes,5.0,9.0,Козерог,27.0,0.0,3.0,,,918464898324,,S,,,2.0,0
2000.0,Нет,Female,,5.0,,Козерог,27.0,0.0,3.0,0.0,Bachelors,918464898324,New Delhi,S,2.0,2013.0,2.0,0
,Нет,Female,Yes,5.0,9.0,Козерог,27.0,0.0,3.0,0.0,Bachelors,918464898324,New Delhi,S,2.0,,2.0,0
,,Male,,4.0,,Телец,26.0,5.0,3.0,1.0,,914615756487,,S,15.0,2015.0,3.0,0
2001.0,Нет,Male,No,,266.0,Телец,,5.0,3.0,,,914615756487,New Delhi,,,2015.0,3.0,0
2001.0,Нет,,No,4.0,266.0,Телец,26.0,,3.0,1.0,Bachelors,914615756487,New Delhi,S,15.0,2015.0,3.0,0
2001.0,Нет,,No,,266.0,Телец,26.0,,3.0,1.0,,914615756487,New Delhi,S,15.0,2015.0,3.0,0
,Нет,,No,4.0,,Телец,,5.0,3.0,,Bachelors,914615756487,,S,15.0,2015.0,,0
1999.0,Нет,,No,5.0,,Козерог,27.0,1.0,2.0,1.0,Bachelors,916539549554,Pune,L,8.0,2017.0,3.0,0
1999.0,Нет,Male,,5.0,256.0,Козерог,27.0,1.0,2.0,1.0,Bachelors,916539549554,Pune,L,8.0,2017.0,3.0,0
,Нет,Male,No,3.0,,Скорпион,25.0,5.0,3.0,,PHD,912745029696,,XL,4.0,,5.0,1
2002.0,Нет,Male,No,,105.0,Скорпион,25.0,,3.0,0.0,PHD,912745029696,New Delhi,XL,4.0,2018.0,5.0,1
2002.0,Нет,,No,,105.0,Скорпион,25.0,5.0,3.0,0.0,PHD,912745029696,New Delhi,,,2018.0,5.0,1
2002.0,Нет,Male,No,3.0,105.0,Скорпион,,5.0,3.0,,PHD,912745029696,New Delhi,XL,4.0,,5.0,1
,Нет,Male,No,3.0,105.0,,25.0,5.0,3.0,0.0,PHD,912745029696,New Delhi,XL,4.0,2018.0,5.0,1
1998.0,,Male,No,,317.0,Стрелец,27.0,10.0,3.0,1.0,Bachelors,911821867157,Pune,,,2014.0,2.0,0
1998.0,Нет,Male,No,,317.0,Стрелец,27.0,10.0,3.0,1.0,Bachelors,911821867157,Pune,L,15.0,2014.0,,0
