Год_рождения,Подписаны_документы,Пол,БылПростой,ОпытВДолжности,Активность,Знак_зодиака,Возраст,Оценка_HR,УровеньОплаты,Офлайн_участие,Образование,Телефон,Город,Размер,Закрытые_проекты,ГодНайма,Курсы,Увольнение
1989.0,Нет,Female,No,4.0,484.0,Лев,38.0,8.0,3.0,1.0,Bachelors,918576967414,Bangalore,,12.0,2015.0,,0
1989.0,Нет,Male,No,2.0,27.0,Дева,,,3.0,1.0,,912349598255,Bangalore,XL,7.0,2013.0,2.0,0
1992.0,Нет,Male,No,0.0,175.0,Рак,35.0,,3.0,0.0,Bachelors,911362134763,Bangalore,,12.0,2017.0,1.0,0
1992.0,Нет,Male,No,0.0,,Рак,,8.0,3.0,0.0,Bachelors,911362134763,,L,12.0,2017.0,1.0,0
1989.0,,Female,,4.0,171.0,Козерог,38.0,6.0,3.0,,Bachelors,918426774316,New Delhi,M,8.0,2013.0,,1
,Да,Female,No,,171.0,Козерог,,6.0,,1.0,,918426774316,,M,8.0,,2.0,1
,,Female,No,4.0,171.0,Козерог,38.0,6.0,3.0,1.0,Bachelors,918426774316,,M,8.0,,2.0,1
1990.0,Да,Female,No,,326.0,,36.0,10.0,3.0,0.0,Bachelors,916466542196,,M,4.0,2018.0,4.0,1
1989.0,,Male,No,3.0,426.0,Стрелец,36.0,0.0,3.0,1.0,,916816554723,New Delhi,,13.0,2013.0,,1
1989.0,Да,Male,No,,426.0,,,0.0,3.0,1.0,,916816554723,New Delhi,XXL,,2013.0,3.0,1
1989.0,Да,,No,3.0,426.0,Стрелец,36.0,0.0,3.0,1.0,PHD,916816554723,,XXL,,2013.0,3.0,1
1986.0,,Male,No,4.0,,Стрелец,41.0,,3.0,0.0,Bachelors,914715341638,Pune,M,9.0,2014.0,1.0,0
1986.0,Нет,Male,No,4.0,225.0,Стрелец,41.0,9.0,3.0,,Bachelors,914715341638,,,,2014.0,1.0,0
,Нет,Male,No,,225.0,Стрелец,41.0,9.0,,0.0,Bachelors,914715341638,Pune,,9.0,2014.0,1.0,0
1986.0,Нет,Male,No,4.0,,Стрелец,41.0,9.0,3.0,0.0,Bachelors,914715341638,Pune,M,9.0,2014.0,1.0,0
1992.0,,Male,Yes,1.0,,Близнецы,35.0,3.0,3.0,1.0,Bachelors,915334787812,Bangalore,M,,2014.0,2.0,0
1992.0,Нет,Male,Yes,1.0,161.0,Близнецы,35.0,3.0,3.0,1.0,Bachelors,915334787812,Bangalore,M,8.0,,,0
1992.0,,,Yes,1.0,,Близнецы,35.0,3.0,3.0,1.0,,915334787812,Bangalore,M,8.0,,2.0,0
1992.0,Нет,Male,Yes,1.0,161.0,Близнецы,35.0,3.0,3.0,1.0,Bachelors,915334787812,Bangalore,M,8.0,,2.0,0
,Нет,Male,No,5.0,439.0,Рак,,3.0,3.0,0.0,Bachelors,913119420260,Bangalore,L,10.0,2017.0,1.0,0
1988.0,Нет,Male,,5.0,439.0,Рак,38.0,3.0,,0.0,,913119420260,Bangalore,L,10.0,2017.0,1.0,0
1985.0,Нет,Female,No,0.0,395.0,Телец,41.0,,,,Bachelors,917177207848,New Delhi,M,9.0,,2.0,0
1993.0,,,No,0.0,240.0,Близнецы,,,,0.0,Bachelors,914118829278,,XXL,14.0,,,0
,Да,,,,470.0,Козерог,,1.0,,0.0,Bachelors,918953903519,Bangalore,M,14.0,2016.0,3.0,1
1988.0,Да,Female,,3.0,,,39.0,1.0,3.0,0.0,Bachelors,918953903519,Bangalore,M,14.0,2016.0,,1
1988.0,Да,Female,No,,470.0,Козерог,39.0,1.0,,,,918953903519,Bangalore,M,,,,1
